Date,Partner,Primary,Leads,Spend,Goals
2024-10-18,Luxofy,Emaar Dubai,17.0,8644.48,1.0
2024-10-18,Luxofy,Nakheel Properties,17.0,8644.48,1.0
2024-10-18,Luxofy,DAMAC Properties,17.0,8644.48,1.0
2024-10-18,Luxofy,Omniyat,17.0,8644.48,1.0
2024-10-18,Luxofy,Emaar Dubai,7.0,3230.43,0.0
2024-10-18,Luxofy,Nakheel Properties,7.0,3230.43,0.0
2024-10-18,Luxofy,DAMAC Properties,7.0,3230.43,0.0
2024-10-18,Luxofy,Omniyat,7.0,3230.43,0.0
2024-10-19,Luxofy,Emaar Dubai,7.0,5312.72,2.0
2024-10-19,Luxofy,Nakheel Properties,7.0,5312.72,2.0
2024-10-19,Luxofy,DAMAC Properties,7.0,5312.72,2.0
2024-10-19,Luxofy,Omniyat,7.0,5312.72,2.0
2024-10-19,Luxofy,Emaar Dubai,2.0,1799.85,2.0
2024-10-19,Luxofy,Nakheel Properties,2.0,1799.85,2.0
2024-10-19,Luxofy,DAMAC Properties,2.0,1799.85,2.0
2024-10-19,Luxofy,Omniyat,2.0,1799.85,2.0
2024-10-20,Luxofy,Emaar Dubai,17.0,9213.31,0.0
2024-10-20,Luxofy,Nakheel Properties,17.0,9213.31,0.0
2024-10-20,Luxofy,DAMAC Properties,17.0,9213.31,0.0
2024-10-20,Luxofy,Omniyat,17.0,9213.31,0.0
2024-10-20,Luxofy,Emaar Dubai,4.0,3460.69,0.0
2024-10-20,Luxofy,Nakheel Properties,4.0,3460.69,0.0
2024-10-20,Luxofy,DAMAC Properties,4.0,3460.69,0.0
2024-10-20,Luxofy,Omniyat,4.0,3460.69,0.0
2024-10-21,Luxofy,Emaar Dubai,10.0,10667.79,2.0
2024-10-21,Luxofy,Nakheel Properties,10.0,10667.79,2.0
2024-10-21,Luxofy,DAMAC Properties,10.0,10667.79,2.0
2024-10-21,Luxofy,Omniyat,10.0,10667.79,2.0
2024-10-21,Luxofy,Emaar Dubai,3.0,3407.99,0.0
2024-10-21,Luxofy,Nakheel Properties,3.0,3407.99,0.0
2024-10-21,Luxofy,DAMAC Properties,3.0,3407.99,0.0
2024-10-21,Luxofy,Omniyat,3.0,3407.99,0.0
2024-10-22,Luxofy,Emaar Dubai,4.0,4364.11,1.0
2024-10-22,Luxofy,Nakheel Properties,4.0,4364.11,1.0
2024-10-22,Luxofy,DAMAC Properties,4.0,4364.11,1.0
2024-10-22,Luxofy,Omniyat,4.0,4364.11,1.0
